date,time,park,ride,wait
03/05/2022,10:30,hollywood-studios,Mickey & Minnie's Runaway Railway,50.0
03/05/2022,10:30,hollywood-studios,Millennium Falcon: Smugglers Run,60.0
03/05/2022,10:30,hollywood-studios,Muppet*Vision 3D,10.0
03/05/2022,10:30,hollywood-studios,Rock 'n' Roller Coaster Starring Aerosmith,60.0
03/05/2022,10:30,hollywood-studios,Slinky Dog Dash,80.0
03/05/2022,10:30,hollywood-studios,Star Tours – The Adventures Continue,20.0
03/05/2022,10:30,hollywood-studios,Star Wars: Rise of the Resistance,135.0
03/05/2022,10:30,hollywood-studios,Toy Story Mania!,55.0
03/05/2022,10:30,hollywood-studios,The Twilight Zone Tower of Terror,75.0
03/05/2022,10:30,animal-kingdom,Avatar Flight of Passage,65.0
03/05/2022,10:30,animal-kingdom,DINOSAUR,35.0
03/05/2022,10:30,animal-kingdom,Expedition Everest,
03/05/2022,10:30,animal-kingdom,It's Tough to be a Bug!,15.0
03/05/2022,10:30,animal-kingdom,Kali River Rapids,15.0
03/05/2022,10:30,animal-kingdom,Kilimanjaro Safaris,95.0
03/05/2022,10:30,animal-kingdom,Na'vi River Journey,90.0
03/05/2022,10:30,animal-kingdom,TriceraTop Spin,10.0
03/05/2022,10:35,magic-kingdom,Astro Orbiter,40.0
03/05/2022,10:35,magic-kingdom,The Barnstormer,15.0
03/05/2022,10:35,magic-kingdom,Big Thunder Mountain Railroad,65.0
03/05/2022,10:35,magic-kingdom,Buzz Lightyear's Space Ranger Spin,45.0
03/05/2022,10:35,magic-kingdom,Dumbo the Flying Elephant,25.0
03/05/2022,10:35,magic-kingdom,Haunted Mansion,65.0
03/05/2022,10:35,magic-kingdom,"""it's a small world""",35.0
03/05/2022,10:35,magic-kingdom,Jungle Cruise,95.0
03/05/2022,10:35,magic-kingdom,Mad Tea Party,5.0
03/05/2022,10:35,magic-kingdom,The Magic Carpets of Aladdin,40.0
03/05/2022,10:35,magic-kingdom,The Many Adventures of Winnie the Pooh,30.0
03/05/2022,10:35,magic-kingdom,Mickey's PhilharMagic,5.0
03/05/2022,10:35,magic-kingdom,Monsters Inc. Laugh Floor,5.0
03/05/2022,10:35,magic-kingdom,Peter Pan's Flight,70.0
03/05/2022,10:35,magic-kingdom,Pirates of the Caribbean,
03/05/2022,10:35,magic-kingdom,Prince Charming Regal Carrousel,15.0
03/05/2022,10:35,magic-kingdom,Seven Dwarfs Mine Train,80.0
03/05/2022,10:35,magic-kingdom,Space Mountain,45.0
03/05/2022,10:35,magic-kingdom,Splash Mountain,
03/05/2022,10:35,magic-kingdom,Tomorrowland Speedway,15.0
03/05/2022,10:35,magic-kingdom,Tomorrowland Transit Authority PeopleMover,0.0
03/05/2022,10:35,magic-kingdom,Under the Sea ~ Journey of The Little Mermaid,20.0
03/05/2022,10:35,epcot,Frozen Ever After,45.0
03/05/2022,10:35,epcot,Gran Fiesta Tour,5.0
03/05/2022,10:35,epcot,Journey Into Imagination With Figment,5.0
03/05/2022,10:35,epcot,Living with the Land,15.0
03/05/2022,10:35,epcot,Mission: SPACE,10.0
03/05/2022,10:35,epcot,Remy's Ratatouille Adventure,55.0
03/05/2022,10:35,epcot,The Seas with Nemo & Friends,5.0
03/05/2022,10:35,epcot,Soarin' Around the World,45.0
03/05/2022,10:35,epcot,Spaceship Earth,25.0
03/05/2022,10:35,epcot,Test Track,55.0
